split,group,image,file_name,width_px,height_px,objects,is_background
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000001.jpg,g01_000001.jpg,640,352,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000002.jpg,g01_000002.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000003.jpg,g01_000003.jpg,988,548,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000004.jpg,g01_000004.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000005.jpg,g01_000005.jpg,640,352,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000006.jpg,g01_000006.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000008.jpg,g01_000008.jpg,640,360,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000009.jpg,g01_000009.jpg,640,352,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000011.jpg,g01_000011.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000012.jpg,g01_000012.jpg,640,640,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000013.jpg,g01_000013.jpg,1024,768,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000014.jpg,g01_000014.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000015.jpg,g01_000015.jpg,198,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000016.jpg,g01_000016.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000017.jpg,g01_000017.jpg,640,640,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000018.jpg,g01_000018.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000020.jpg,g01_000020.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000021.jpg,g01_000021.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000022.jpg,g01_000022.jpg,640,640,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000023.jpg,g01_000023.jpg,640,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000024.jpg,g01_000024.jpg,640,352,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000025.jpg,g01_000025.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000026.jpg,g01_000026.jpg,847,433,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000027.jpg,g01_000027.jpg,931,524,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000029.jpg,g01_000029.jpg,202,360,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000030.jpg,g01_000030.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000031.png,g01_000031.png,750,415,2,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000032.jpg,g01_000032.jpg,640,360,3,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000033.jpg,g01_000033.jpg,640,640,1,0
train,01,datasets\fire_vn_yolo11seg_v1\images\train\g01_000034.jpg,g01_000034.jpg,640,360,3,0
