group,source_key,file_name,path,annotations,content_hash,dhash
01,e807a7d8b6c573ba,img_01_000001.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000001.jpg,1,f733ec182fd0a8f1fe9ebe5b2b01ef820e5db94c,3908519554573086527
01,44f1cd2f3a3fab8e,img_01_000002.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000002.jpg,1,ce993826193306365ab726fe039f98f0513905e1,3490836655860463800
01,05e3cc291becc3ec,img_01_000003.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000003.jpg,1,fea658ef6e8f12fdac385bb7eaa3e466c4734ef1,1159685870060178211
01,4ad77817031ab868,img_01_000004.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000004.jpg,1,af3bfcb7084e9f4ceb808c3f39571080dc45923b,2082382119158381794
01,1a546673cdae1c6a,img_01_000005.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000005.jpg,2,04ddf27fa65573586b317b3333321ce4516642b8,2314960177618493488
01,922ffe0821d18cdc,img_01_000006.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000006.jpg,1,2cc0c8d68727de85ac31cc1fa937205e28a5b72b,18319935405636661304
01,594e27dba11fe389,img_01_000007.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000007.jpg,1,f88520aef6e0241b951804f742c9dadb79cd0e14,5759993540784836029
01,bcecedb73ddbee90,img_01_000008.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000008.jpg,1,1775fd310aa37436320ca9255369f95ed307c086,14961827743709659418
01,41ea9f6e5f09b7c7,img_01_000009.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000009.jpg,1,edbf5ee3a7438cf17c8fb896fd815c8f87a1be41,17722200847995267192
01,045a1c3c7dd4a222,img_01_000010.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000010.jpg,1,f13bd9ac15f492ef7391af852c5d740c2cacedd7,9422439980311418311
01,e29de9300d2b1e94,img_01_000011.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000011.jpg,2,a96a574910b87b7b4939d4f8118aa8689b424aab,11032441575099007233
01,0bf031fb383409a6,img_01_000012.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000012.jpg,3,8ce09757ed975d42e7724c239aa17b7ba289f977,18227392553826024311
01,6f92f2916ebc617c,img_01_000013.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000013.jpg,2,24b163ac9a4d1e59bfc7548c1b1f5ce28ae6ce3e,9422148561272514319
01,8d16b72d0fe3beff,img_01_000014.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000014.jpg,1,e79aa62a667b8796e1b38a22c752f74334531cba,1376016943031732442
01,ddf58aec67637808,img_01_000015.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000015.jpg,2,919aea0f0a13eda0da5f9851d5659183760a7927,10747007933225837193
01,780c06b254471a71,img_01_000016.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000016.jpg,1,8fb902a1bf9fee2a5e5416864cff252faf7eb83c,4555319129384144370
01,e096d9fc6eef5b69,img_01_000017.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000017.jpg,2,b64873f1d2b039380f67f548a71417b86d58eae7,4702127739230514368
01,cb01a2af10be1a7f,img_01_000018.jpg,datasets\fire_vn_yolo11seg_v1\_raw_from_zip\group_01\train\img_01_000018.jpg,1,b84fca9e45693199d9ea4c68d1051f06a03bee58,12982977002549815440
